MEDIENNR;VERFASSERIN;TITEL;MEDIENGRUPPE;SYSTEMATIK;ANZAHL_AUSLEIHEN;ANZAHL_TITEL
0964518;Stone, Rex;¬Die¬ Flucht des Triceratops;Buch;JM;272;23
0654610;Black, Holly;¬Eine¬ unglaubliche Entdeckung;Buch;JM.G;271;44
1162885;Maurer, Jörg;Unterholz;Buch;DR.D;271;31
0989009;Vogel, Maja von;Prinzessin Furchtlos;Buch;JM.C;271;26
0707426;Osborne, Mary Pope;Mit Anne und Philipp im Weltall;Buch;JM;271;28
1067867;Falk, Rita;Dampfnudelblues;Buch;DR.D;271;29
1178004;Ott, Elfriede;Worüber ich lache;Buch;KT.O;271;36
1042815;Spyri, Johanna;Heidi;Buch;JE.CO;271;24
1020792;Gehm, Franziska;Ferien mit Biß;Compact Disc;CD.JM.G;271;40
1135380;Melling, David;Schlaf gut, Paulchen!;Buch;JD.N;271;25
1023004;Chapman, Linda;Liebeszauber;Buch;JE.NP;270;22
0991576;Nesser, Håkan;¬Das¬ zweite Leben des Herrn Roos;Buch;DR.D;270;63
1225301;Hackl, Erich;Drei tränenlose Geschichten;Buch;DR;270;44
1172935;Lütje, Susanne;Alarm im Klassenzimmer;Buch;JM.C;270;28
1170346;Murakami, Haruki;Südlich der Grenze, westlich der Sonne;Buch;DR;270;31
1042813;Wiechmann, Heike;¬Das¬ Detektivpony;Buch;JE.C;270;24
1186559;Bluhm, Maja;Meine Mutter, meine Tochter, ihr Freund, sein Vater und ich;Buch;DR.G;269;26
1027710;Glattauer, Daniel;Theo;Buch;DR;269;43
1038031;Thilo;Auf zum König, kleiner Drachenreiter!;Buch;JM.CB;269;31
1011573;Widmark, Martin;¬Das¬ Schulgeheimnis;Buch;JE.D;269;32
1228375;Polanski, Roman;Venus im Pelz;DVD;TT.KT.01;269;37
1228804;Siegner, Ingo;¬Der¬ kleine Drache Kokosnuss - Das große ABC-Buch;Buch;JD.Z;269;37
1194902;Blade, Adam;Rokk, die Felsenfaust;Buch;JM;269;26
1123354;Franz, Andreas;Todesmelodie;Buch;DR.D;269;36
0794281;Walder, Vanessa;Feengeschichten;Buch;JM.C;269;28
0893731;Nahrgang, Frauke;Nein, ich geh nicht mit, ich kenn dich nicht!;Buch;JE.C;269;33
1161266;Rose, Karen;Todeskleid;Buch;DR.E;269;41
0791192;Königsberg, Katja;Krimigeschichten zum Mitraten;Buch;I-07/13;268;30
1216147;Hill, Reginald;¬Der¬ Tod heilt alle Wunden;Buch;DR.D;268;28
1210972;Cleeves, Ann;Tote Wasser;Buch;DR.D;268;26
1071598;Camilleri, Andrea;¬Das¬ Netz der großen Fische;Buch;DR.D;268;44
1186973;Forester, Cecil S.;Tödliche Ohnmacht;Buch;DR.D;267;30
0703467;Chapman, Linda;Freunde im Zauberreich;Buch;JE.NP;267;25
0930997;Camilleri, Andrea;¬Die¬ schwarze Seele des Sommers;Buch;DR.D;267;42
1166356;Franz, Andreas;Tödlicher Absturz;Buch;DR.D;267;29
1121397;Blade, Adam;Ecor, Hufe der Zerstörung;Buch;JM.F;267;26
1242048;Prochaska, Andreas;¬Das¬ finstere Tal;DVD;TT.KT.09;267;41
1175325;Haller, Reinhard;¬Die¬ Narzissmusfalle;Buch;PI.HKP;267;32
1088660;Reider, Katja;¬Der¬ mutigste Ritter der Welt;Buch;JM.C;267;26
1218535;Funke, Cornelia;Katzen, Hunde, freche Ziegen;Buch;JM.C;267;41
1218134;Cabot, Meg;Keine Schokolade ist auch keine Lösung;Buch;DR.G;267;32
0634322;Osborne, Mary Pope;Im Auge des Wirbelsturms;Buch;JM;267;23
1086245;Wiechmann, Heike;Reitstallgeschichten;Buch;JE.C;267;25
1088664;Mai, Manfred;Kleiner Fuchs auf großer Jagd;Buch;JE.C;266;23
1086214;Funke, Cornelia;Rittergeschichten;Buch;JM.CO;266;30
1129543;Irving, John;In einer Person;Buch;DR;266;47
1122338;Moyes, Jojo;Me before you;Buch;FS.E;266;28
1077165;Suess, Anne;¬Mein¬ großes Wimmelbuch Tiere;Buch;JD.W;266;27
1225294;Lewitscharoff, Sibylle;Killmousky;Buch;DR.D;266;39
0988985;Funke, Cornelia;¬Das¬ verzauberte Klassenzimmer;Buch;JM.C;266;30
1140692;Blade, Adam;Tarax, Klauen der Finsternis;Buch;JM;266;28
1193429;Finsterbusch, Monika;Vorhang auf für Prinzessin Lillifee!;Buch;JD.R;266;33
0988828;Vogel, Maja ¬von¬;Emma traut sich was;Buch;JE.F;266;56
1121333;Reider, Katja;Paulas erster Schultag;Buch;JE.CB;265;30
1238384;Jarmusch, Jim;Only Lovers Left Alive;DVD;TT.KT.01;265;38
1228355;Coen, Joel;Inside Llewyn Davis;DVD;TT.KT.01;265;35
1122834;Cleminson, Katie;Otto, der Bücherbär;Buch;JD.N;265;34
1021571;Bertram, Rüdiger;¬Der¬ Leserabe auf Schatzsuche;Buch;JM.C;265;23
1175208;Dreller, Christian;¬Die¬ drei Musketiere - Einer für alle, alle für einen;Buch;JM.C;265;22
1175554;Sten, Viveca;Mörderische Schärennächte;Buch;DR.D;265;25
0978154;Gehm, Franziska;Ferien mit Biss;Buch;JM.G;264;29
1194977;Landy, Derek;Duell der Dimensionen;Buch;JM.G;264;33
0553981;Boehme, Julia;Conni und der Liebesbrief;Buch;JE.L;264;27
0347891;Rübel, Doris;Wir entdecken unseren Körper;Buch;JD.JN;264;28
0964634;Gehm, Franziska;Herzgeflatter im Duett;Buch;JM.G;264;30
